,Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,score,prediction
825,826,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.12,0
826,827,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.07,0
827,828,Brown University,3.5,PhD,Providence,N/A,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.0,0
828,829,Brown University,3.5,PhD,Providence,F,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.0,0
829,830,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.11,0
830,831,Brown University,3.5,Master's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.48,0
831,832,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.84,0
832,833,Brown University,3.5,Master's,Providence,N/A,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.57,0
833,834,Brown University,3.5,PhD,Providence,N/A,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.62,0
834,835,Brown University,3.5,PhD,Providence,F,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.51,1
835,836,Brown University,3.5,Master's,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.17,1
836,837,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.29,0
837,838,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.38,0
838,839,Brown University,3.5,Master's,Providence,M,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.38,0
839,840,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.99,0
840,841,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.54,0
841,842,Brown University,3.5,PhD,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.18,0
842,843,Brown University,3.5,Master's,Providence,F,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.55,0
843,844,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.82,0
844,845,Brown University,3.5,PhD,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.44,0
845,846,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.76,1
846,847,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.49,0
847,848,Brown University,3.5,Master's,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.75,0
848,849,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.99,0
849,850,Brown University,3.5,PhD,Providence,M,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.43,1
850,851,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.93,0
851,852,Brown University,3.5,Master's,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.55,0
852,853,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.96,0
853,854,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.08,0
854,855,Brown University,3.5,Master's,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.15,0
855,856,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.06,0
856,857,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.51,1
857,858,Brown University,3.5,Master's,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.08,0
858,859,Brown University,3.5,Bachelor's,Providence,M,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.23,1
859,860,Brown University,3.5,PhD,Providence,M,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.36,1
860,861,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.66,0
861,862,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.23,1
862,863,Brown University,3.5,Master's,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.72,0
863,864,Brown University,3.5,Master's,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.96,1
864,865,Brown University,3.5,Master's,Providence,F,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.69,1
865,866,Brown University,3.5,Master's,Providence,M,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.52,1
866,867,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.76,0
867,868,Brown University,3.5,PhD,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.01,1
868,869,Brown University,3.5,PhD,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.96,1
869,870,Brown University,3.5,PhD,Providence,F,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.42,0
870,871,Brown University,3.5,Master's,Providence,M,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.31,0
871,872,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.77,1
872,873,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.9,1
873,874,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.77,1
874,875,Brown University,3.5,PhD,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.81,0
875,876,Brown University,3.5,PhD,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.06,1
876,877,Brown University,3.5,Master's,Providence,F,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.79,1
877,878,Brown University,3.5,PhD,Providence,M,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.54,0
878,879,Brown University,3.5,PhD,Providence,F,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.93,0
879,880,Brown University,3.5,PhD,Providence,F,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.76,1
880,881,Brown University,3.5,PhD,Providence,F,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.17,0
881,882,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.36,0
882,883,Brown University,3.5,PhD,Providence,N/A,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.5,0
883,884,Brown University,3.5,PhD,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.88,0
884,885,Brown University,3.5,PhD,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.67,1
885,886,Brown University,3.5,PhD,Providence,N/A,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.38,0
886,887,Brown University,3.5,PhD,Providence,M,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.87,0
887,888,Brown University,3.5,PhD,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.56,1
888,889,Brown University,3.5,Master's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.88,1
889,890,Brown University,3.5,Master's,Providence,M,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.63,0
890,891,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.25,0
891,892,Brown University,3.5,Master's,Providence,M,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.09,1
892,893,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.45,1
893,894,Brown University,3.5,Master's,Providence,F,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.86,0
894,895,Brown University,3.5,Master's,Providence,N/A,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.43,0
895,896,Brown University,3.5,Master's,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.38,0
896,897,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.72,0
897,898,Brown University,3.5,Bachelor's,Providence,F,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.98,1
898,899,Brown University,3.5,Master's,Providence,M,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.2,0
899,900,Brown University,3.5,Master's,Providence,M,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.61,1
900,901,Brown University,3.5,Bachelor's,Providence,F,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.93,0
901,902,Brown University,3.5,Bachelor's,Providence,M,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.03,0
902,903,Brown University,3.5,Master's,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.11,1
903,904,Brown University,3.5,Master's,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.28,1
904,905,Brown University,3.5,Master's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.3,0
905,906,Brown University,3.5,Master's,Providence,M,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.05,1
906,907,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.71,0
907,908,Brown University,3.5,PhD,Providence,F,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.16,1
908,909,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.0,0
909,910,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.36,1
910,911,Brown University,3.5,PhD,Providence,N/A,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.32,0
911,912,Brown University,3.5,PhD,Providence,F,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.03,0
912,913,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.03,1
913,914,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.38,1
914,915,Brown University,3.5,PhD,Providence,F,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.8,0
915,916,Brown University,3.5,PhD,Providence,F,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.0,0
916,917,Brown University,3.5,PhD,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.22,0
917,918,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.38,0
918,919,Brown University,3.5,Master's,Providence,N/A,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.06,0
919,920,Brown University,3.5,PhD,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.19,0
920,921,Brown University,3.5,Master's,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.41,0
921,922,Brown University,3.5,Master's,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.4,0
922,923,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.88,1
923,924,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.87,0
924,925,Brown University,3.5,Master's,Providence,N/A,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.59,0
925,926,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.43,1
926,927,Brown University,3.5,PhD,Providence,F,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.57,1
927,928,Brown University,3.5,PhD,Providence,N/A,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.13,0
928,929,Brown University,3.5,Master's,Providence,N/A,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.25,0
929,930,Brown University,3.5,Master's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.78,1
930,931,Brown University,3.5,PhD,Providence,F,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.84,0
931,932,Brown University,3.5,PhD,Providence,F,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.4,0
932,933,Brown University,3.5,Master's,Providence,F,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.62,0
933,934,Brown University,3.5,PhD,Providence,F,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.07,1
934,935,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.18,0
935,936,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.75,1
936,937,Brown University,3.5,Master's,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.22,1
937,938,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.46,0
938,939,Brown University,3.5,Master's,Providence,N/A,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.55,0
939,940,Brown University,3.5,Bachelor's,Providence,F,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.73,0
940,941,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.26,0
941,942,Brown University,3.5,Master's,Providence,F,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.45,0
942,943,Brown University,3.5,PhD,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.7,1
943,944,Brown University,3.5,Master's,Providence,M,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.46,0
944,945,Brown University,3.5,Master's,Providence,N/A,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.43,0
945,946,Brown University,3.5,PhD,Providence,M,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.7,1
946,947,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.41,0
947,948,Brown University,3.5,Master's,Providence,M,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.81,0
948,949,Brown University,3.5,Master's,Providence,F,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.36,0
949,950,Brown University,3.5,Master's,Providence,N/A,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.27,0
950,951,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.25,0
951,952,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.27,0
952,953,Brown University,3.5,PhD,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.86,0
953,954,Brown University,3.5,Master's,Providence,F,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.43,0
954,955,Brown University,3.5,PhD,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.63,0
955,956,Brown University,3.5,PhD,Providence,N/A,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.7,0
956,957,Brown University,3.5,Master's,Providence,M,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.05,0
957,958,Brown University,3.5,Master's,Providence,M,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.21,0
958,959,Brown University,3.5,PhD,Providence,F,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.18,0
959,960,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.78,0
960,961,Brown University,3.5,PhD,Providence,N/A,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.62,0
961,962,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.1,1
962,963,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.91,0
963,964,Brown University,3.5,PhD,Providence,F,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.85,0
964,965,Brown University,3.5,Master's,Providence,F,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,6.54,0
965,966,Brown University,3.5,PhD,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.21,0
966,967,Brown University,3.5,PhD,Providence,N/A,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.43,0
967,968,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.57,0
968,969,Brown University,3.5,PhD,Providence,F,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,9.95,1
969,970,Brown University,3.5,Master's,Providence,F,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.66,0
970,971,Brown University,3.5,PhD,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.14,1
971,972,Brown University,3.5,PhD,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.44,0
972,973,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.81,0
973,974,Brown University,3.5,Master's,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.31,1
974,975,Brown University,3.5,Master's,Providence,N/A,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.15,0
975,976,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.64,0
976,977,Brown University,3.5,Master's,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,3.57,1
977,978,Brown University,3.5,Master's,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.69,1
978,979,Brown University,3.5,PhD,Providence,N/A,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.84,0
979,980,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,White,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.26,0
980,981,Brown University,3.5,Master's,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.46,0
981,982,Brown University,3.5,Bachelor's,Providence,F,0,0,0,Other,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,0.16,0
982,983,Brown University,3.5,PhD,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,7.87,1
983,984,Brown University,3.5,Master's,Providence,M,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.24,1
984,985,Brown University,3.5,Bachelor's,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,8.83,0
985,986,Brown University,3.5,Master's,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,2.58,0
986,987,Brown University,3.5,Bachelor's,Providence,M,0,0,0,Asian American & Pacific Islander,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.96,0
987,988,Brown University,3.5,PhD,Providence,F,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,5.2,0
988,989,Brown University,3.5,PhD,Providence,N/A,0,0,0,Black,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,1.92,0
989,990,Brown University,3.5,Master's,Providence,N/A,0,0,0,Native American,Financial Analyst,2/15,9/15,Web Developer,10/15,12/15,N/A,N/A,N/A,4.63,0
