Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,score
159,Salve Regina University,2.9,Bachelor's,Houston,F,1,1,0,Native American,Research Assistant,3/22,9/22,N/A,N/A,N/A,N/A,N/A,N/A,6.51
160,Bryant University,2.65,Bachelor's,Austin,M,1,1,0,Black,Human Resources Manager,10/20,10/20,Data Scientist,11/20,12/20,Marketing Coordinator,1/21,1/21,8.79
161,Rhode Island School of Design,2.8,Master's,Houston,F,0,0,N/A,Native American,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.95
162,Bryant University,2.63,PhD,Los Angeles,M,0,0,1,White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.81
163,Brown University,3.06,PhD,Dallas,N/A,N/A,0,N/A,Black,Financial Analyst,11/16,11/16,Marketing Coordinator,12/16,12/16,N/A,N/A,N/A,1.05
164,Salve Regina University,3.06,Bachelor's,Miami,F,N/A,1,1,Native American,Human Resources Manager,8/15,12/15,N/A,N/A,N/A,N/A,N/A,N/A,4.23
165,Brown University,3.69,Master's,Columbus,N/A,1,1,0,Black,Financial Analyst,4/20,11/20,Sales Representative,12/20,12/20,N/A,N/A,N/A,5.0
166,Johnson & Wales University,3.1,PhD,Los Angeles,M,1,0,1,White,Sales Representative,4/19,9/19,Lawyer,10/19,11/19,Sales Representative,12/19,12/19,2.33
167,New England Institute of Technology,3.41,Master's,Houston,N/A,N/A,1,N/A,Native American,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.75
168,Roger Williams University,3.09,Master's,San Antonio,M,1,1,1,Asian American & Pacific Islander,Data Scientist,4/18,5/18,Marketing Coordinator,6/18,9/18,Product Manager,10/18,12/18,8.45
169,New England Institute of Technology,3.52,PhD,San Jose,F,1,0,0,Native American,Web Developer,9/20,9/20,Sales Representative,10/20,11/20,N/A,N/A,N/A,3.39
170,Bryant University,2.94,PhD,Dallas,F,N/A,1,N/A,White,Machine Learning Engineer,11/16,11/16,Sales Representative,12/16,12/16,Web Developer,1/17,5/17,2.75
171,Johnson & Wales University,3.15,Master's,Philadelphia,M,0,0,1,Other,Graphic Designer,3/15,3/15,Financial Analyst,4/15,9/15,Data Scientist,10/15,11/15,8.59
172,Rhode Island School of Design,2.75,Bachelor's,Dallas,M,N/A,1,1,Black,Marketing Coordinator,4/21,11/21,N/A,N/A,N/A,N/A,N/A,N/A,6.42
173,Rhode Island School of Design,3.1,Master's,Los Angeles,M,N/A,0,N/A,Native American,Research Assistant,2/20,3/20,N/A,N/A,N/A,N/A,N/A,N/A,1.16
174,Rhode Island School of Design,3.91,Master's,Phoenix,N/A,N/A,0,0,Native American,Web Developer,1/15,2/15,Machine Learning Engineer,3/15,11/15,Software Engineer,12/15,12/15,8.26
175,Johnson & Wales University,2.22,Bachelor's,Charlotte,M,1,0,0,Asian American & Pacific Islander,Marketing Coordinator,10/15,12/15,Machine Learning Engineer,1/16,12/16,Web Developer,1/17,5/17,1.45
176,Roger Williams University,2.99,PhD,Austin,M,1,1,N/A,Asian American & Pacific Islander,Data Scientist,7/20,10/20,Financial Analyst,11/20,12/20,Human Resources Manager,1/21,1/21,8.66
177,New England Institute of Technology,3.45,PhD,San Francisco,M,0,0,0,Native American,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.91
178,Providence College,3.6,Bachelor's,Philadelphia,N/A,0,1,0,White,Marketing Coordinator,6/22,10/22,Marketing Coordinator,11/22,11/22,Web Developer,12/22,12/22,6.82
179,Rhode Island School of Design,3.04,Bachelor's,Philadelphia,M,0,0,N/A,Other,Product Manager,6/17,9/17,N/A,N/A,N/A,N/A,N/A,N/A,2.26
180,Salve Regina University,2.83,PhD,Miami,F,1,1,0,Native American,Sales Representative,5/15,12/15,Human Resources Manager,1/16,9/16,Research Assistant,10/16,11/16,7.52
181,Roger Williams University,2.57,PhD,Philadelphia,N/A,N/A,1,N/A,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.15
182,Johnson & Wales University,2.64,PhD,Jacksonville,N/A,1,1,1,Other,Graphic Designer,1/15,1/15,N/A,N/A,N/A,N/A,N/A,N/A,2.02
183,University of Rhode Island,3.22,PhD,Chicago,N/A,N/A,1,1,Native American,Sales Representative,1/20,7/20,Sales Representative,8/20,9/20,Graphic Designer,10/20,10/20,1.25
184,Johnson & Wales University,3.31,Master's,San Francisco,F,N/A,1,1,White,Sales Representative,8/15,11/15,Sales Representative,12/15,12/15,N/A,N/A,N/A,7.89
185,Roger Williams University,3.35,Bachelor's,Providence,M,0,0,N/A,Native American,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.5
186,New England Institute of Technology,2.5,Master's,San Jose,F,N/A,0,N/A,Black,Sales Representative,12/22,12/22,Financial Analyst,1/23,9/23,Lawyer,10/23,12/23,4.36
187,Salve Regina University,3.0,Bachelor's,Phoenix,F,N/A,0,N/A,Native American,Web Developer,10/19,11/19,Human Resources Manager,12/19,12/19,N/A,N/A,N/A,1.36
188,Roger Williams University,3.75,PhD,Phoenix,N/A,0,1,0,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.49
189,Bryant University,3.11,Bachelor's,Providence,F,N/A,0,0,Black,Product Manager,12/16,12/16,Software Engineer,1/17,2/17,Data Scientist,3/17,9/17,3.73
190,New England Institute of Technology,3.2,Bachelor's,Phoenix,N/A,1,0,0,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.66
191,Rhode Island College,2.62,Master's,San Jose,N/A,0,0,0,Black,Financial Analyst,5/21,8/21,Financial Analyst,9/21,10/21,Sales Representative,11/21,11/21,0.79
192,Providence College,2.6,PhD,Jacksonville,N/A,N/A,1,1,Asian American & Pacific Islander,Web Developer,5/17,8/17,Financial Analyst,9/17,9/17,Lawyer,10/17,11/17,0.85
193,Roger Williams University,2.36,PhD,Chicago,N/A,1,0,1,Black,Sales Representative,10/15,11/15,Web Developer,12/15,12/15,Sales Representative,1/16,8/16,5.03
194,Salve Regina University,3.29,PhD,Philadelphia,N/A,0,0,0,Asian American & Pacific Islander,Machine Learning Engineer,5/22,7/22,Human Resources Manager,8/22,12/22,Web Developer,1/23,8/23,5.14
195,Providence College,3.36,Master's,Charlotte,F,1,0,1,Native American,Lawyer,8/20,11/20,Lawyer,12/20,12/20,N/A,N/A,N/A,0.92
196,Bryant University,3.08,Master's,Chicago,F,N/A,0,N/A,Other,Financial Analyst,3/22,8/22,Research Assistant,9/22,10/22,Research Assistant,11/22,11/22,5.75
197,New England Institute of Technology,3.63,PhD,Phoenix,F,1,1,N/A,Native American,Web Developer,12/15,12/15,Web Developer,1/16,4/16,Research Assistant,5/16,12/16,0.86
198,Salve Regina University,2.69,Bachelor's,Chicago,N/A,N/A,0,0,Black,Financial Analyst,3/16,8/16,Machine Learning Engineer,9/16,12/16,N/A,N/A,N/A,5.56
199,Rhode Island College,3.23,Bachelor's,Dallas,N/A,0,1,1,Native American,Web Developer,3/17,4/17,Graphic Designer,5/17,6/17,N/A,N/A,N/A,6.76
200,Brown University,3.44,Bachelor's,San Francisco,M,0,1,1,White,Financial Analyst,5/21,9/21,Financial Analyst,10/21,10/21,Sales Representative,11/21,11/21,9.15
201,Johnson & Wales University,3.3,PhD,San Antonio,N/A,N/A,0,0,Black,Web Developer,1/19,1/19,Web Developer,2/19,3/19,Financial Analyst,4/19,11/19,7.8
202,Johnson & Wales University,3.12,Master's,Los Angeles,N/A,N/A,0,N/A,Black,Sales Representative,10/16,11/16,N/A,N/A,N/A,N/A,N/A,N/A,0.63
203,New England Institute of Technology,3.34,Bachelor's,San Diego,M,0,0,0,Asian American & Pacific Islander,Human Resources Manager,8/18,12/18,Research Assistant,1/19,7/19,Product Manager,8/19,10/19,2.25
204,Rhode Island College,2.82,Bachelor's,San Jose,N/A,N/A,0,N/A,Black,Machine Learning Engineer,8/20,10/20,Lawyer,11/20,11/20,Data Scientist,12/20,12/20,9.14
205,Salve Regina University,3.63,Bachelor's,Miami,N/A,1,0,1,White,Human Resources Manager,6/16,8/16,N/A,N/A,N/A,N/A,N/A,N/A,0.67
206,Rhode Island School of Design,3.88,Master's,Los Angeles,M,N/A,1,N/A,White,Graphic Designer,1/16,4/16,Lawyer,5/16,8/16,N/A,N/A,N/A,4.46
207,University of Rhode Island,3.04,Master's,San Francisco,F,1,0,N/A,Asian American & Pacific Islander,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.24
208,Rhode Island School of Design,3.3,Bachelor's,Providence,N/A,N/A,0,N/A,Black,Graphic Designer,6/18,7/18,N/A,N/A,N/A,N/A,N/A,N/A,0.76
209,Rhode Island School of Design,3.22,Master's,Dallas,M,1,1,0,Native American,Sales Representative,7/22,11/22,N/A,N/A,N/A,N/A,N/A,N/A,8.64
210,Bryant University,2.74,PhD,Austin,M,N/A,1,0,Black,Data Scientist,2/20,9/20,Financial Analyst,10/20,10/20,Data Scientist,11/20,12/20,6.43
211,Rhode Island School of Design,3.5,Master's,Columbus,F,0,0,0,Black,Human Resources Manager,10/21,12/21,Financial Analyst,1/22,6/22,Lawyer,7/22,12/22,1.7
212,University of Rhode Island,3.81,Master's,New York,F,1,0,1,Native American,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.59
213,Rhode Island School of Design,3.62,Master's,San Francisco,F,N/A,0,1,White,Research Assistant,6/18,12/18,N/A,N/A,N/A,N/A,N/A,N/A,4.77
214,Providence College,2.92,Bachelor's,New York,F,1,0,1,Asian American & Pacific Islander,Product Manager,10/21,10/21,Financial Analyst,11/21,12/21,Research Assistant,1/22,3/22,3.85
215,Rhode Island School of Design,3.42,Bachelor's,Los Angeles,F,N/A,1,0,White,Web Developer,9/20,11/20,Marketing Coordinator,12/20,12/20,Product Manager,1/21,6/21,1.85
216,Johnson & Wales University,3.54,PhD,Philadelphia,F,0,1,0,Native American,Graphic Designer,6/17,7/17,Product Manager,8/17,9/17,Software Engineer,10/17,10/17,7.22
217,Brown University,3.06,PhD,Philadelphia,N/A,0,0,1,Other,Financial Analyst,3/22,5/22,Financial Analyst,6/22,9/22,Financial Analyst,10/22,11/22,7.08
218,New England Institute of Technology,2.98,Master's,San Diego,M,0,0,1,White,Financial Analyst,3/15,10/15,Marketing Coordinator,11/15,12/15,N/A,N/A,N/A,4.96
219,Roger Williams University,3.13,PhD,San Jose,M,1,1,0,Native American,Research Assistant,1/17,2/17,Lawyer,3/17,3/17,N/A,N/A,N/A,3.81
220,Brown University,3.19,Master's,San Diego,N/A,0,0,1,Black,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.12
221,New England Institute of Technology,3.4,Master's,Fort Worth,F,1,1,1,Other,Sales Representative,5/18,6/18,N/A,N/A,N/A,N/A,N/A,N/A,8.33
222,Rhode Island School of Design,2.52,Bachelor's,Jacksonville,N/A,0,1,1,Asian American & Pacific Islander,Machine Learning Engineer,8/18,12/18,Product Manager,1/19,11/19,Research Assistant,12/19,12/19,4.51
223,Johnson & Wales University,3.57,PhD,New York,F,N/A,0,N/A,Black,Human Resources Manager,7/16,7/16,Sales Representative,8/16,12/16,Data Scientist,1/17,8/17,8.76
224,Providence College,3.4,Bachelor's,Philadelphia,N/A,1,0,N/A,Asian American & Pacific Islander,Graphic Designer,11/18,12/18,N/A,N/A,N/A,N/A,N/A,N/A,7.32
225,Bryant University,3.27,Master's,Charlotte,N/A,1,1,N/A,Other,Marketing Coordinator,12/20,12/20,Sales Representative,1/21,10/21,Human Resources Manager,11/21,12/21,7.61
226,Rhode Island College,3.28,Bachelor's,Jacksonville,F,1,0,1,Asian American & Pacific Islander,Software Engineer,12/17,12/17,Machine Learning Engineer,1/18,11/18,Software Engineer,12/18,12/18,2.23
227,Roger Williams University,2.86,Bachelor's,Charlotte,M,1,1,0,Other,Machine Learning Engineer,2/16,4/16,Product Manager,5/16,6/16,Financial Analyst,7/16,8/16,2.8
228,Bryant University,2.8,Bachelor's,Boston,F,0,0,1,Other,Product Manager,1/22,8/22,Data Scientist,9/22,12/22,N/A,N/A,N/A,2.65
229,Providence College,3.31,PhD,San Jose,M,0,1,0,White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.99
230,Johnson & Wales University,3.35,PhD,Providence,F,1,0,0,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.08
231,Rhode Island College,3.19,Master's,Miami,M,0,0,1,Native American,Web Developer,8/19,10/19,Machine Learning Engineer,11/19,11/19,N/A,N/A,N/A,5.93
232,Bryant University,3.49,PhD,Charlotte,M,0,0,0,Other,Web Developer,11/20,11/20,Marketing Coordinator,12/20,12/20,Web Developer,1/21,9/21,0.17
233,Providence College,3.56,Bachelor's,Boston,N/A,0,1,1,Native American,Lawyer,5/21,6/21,Data Scientist,7/21,8/21,Marketing Coordinator,9/21,11/21,4.46
234,Bryant University,3.7,Master's,Providence,M,N/A,0,1,Asian American & Pacific Islander,Machine Learning Engineer,2/16,10/16,Financial Analyst,11/16,12/16,N/A,N/A,N/A,6.77
235,University of Rhode Island,3.2,PhD,San Francisco,N/A,N/A,1,0,Asian American & Pacific Islander,Graphic Designer,8/17,10/17,Research Assistant,11/17,12/17,Research Assistant,1/18,1/18,4.15
236,Bryant University,2.42,Master's,Providence,F,N/A,1,0,Other,Web Developer,5/15,11/15,N/A,N/A,N/A,N/A,N/A,N/A,4.06
237,Rhode Island School of Design,3.08,PhD,Providence,F,1,0,0,Asian American & Pacific Islander,Graphic Designer,2/22,9/22,Machine Learning Engineer,10/22,11/22,Human Resources Manager,12/22,12/22,9.16
238,Salve Regina University,3.32,PhD,San Diego,M,0,0,N/A,Asian American & Pacific Islander,Financial Analyst,7/15,11/15,Software Engineer,12/15,12/15,N/A,N/A,N/A,7.93
239,Rhode Island College,2.77,PhD,Chicago,M,N/A,0,0,Other,Lawyer,6/20,12/20,Data Scientist,1/21,12/21,Human Resources Manager,1/22,1/22,8.58
240,Brown University,2.53,Master's,Charlotte,N/A,N/A,1,0,Native American,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.23
241,Bryant University,3.15,Bachelor's,San Antonio,N/A,0,0,N/A,Asian American & Pacific Islander,Machine Learning Engineer,12/16,12/16,Product Manager,1/17,5/17,Machine Learning Engineer,6/17,10/17,0.66
242,Salve Regina University,3.0,Bachelor's,San Francisco,F,1,1,N/A,Native American,Financial Analyst,10/15,11/15,Data Scientist,12/15,12/15,Data Scientist,1/16,11/16,8.35
243,University of Rhode Island,2.72,Master's,Miami,F,1,0,1,Asian American & Pacific Islander,Graphic Designer,6/17,11/17,Product Manager,12/17,12/17,Web Developer,1/18,8/18,8.23
244,Rhode Island School of Design,3.62,PhD,San Diego,F,1,1,1,Black,Data Scientist,10/18,11/18,Financial Analyst,12/18,12/18,Human Resources Manager,1/19,12/19,7.46
245,University of Rhode Island,3.07,Bachelor's,Boston,F,N/A,0,1,Asian American & Pacific Islander,Web Developer,12/17,12/17,N/A,N/A,N/A,N/A,N/A,N/A,6.9
246,Providence College,3.81,Master's,Boston,N/A,N/A,0,0,Asian American & Pacific Islander,Product Manager,10/19,10/19,Marketing Coordinator,11/19,11/19,Machine Learning Engineer,12/19,12/19,3.62
247,Salve Regina University,3.18,Master's,San Diego,N/A,0,1,N/A,Native American,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.04
248,Salve Regina University,3.31,Bachelor's,Austin,N/A,N/A,0,N/A,Native American,Human Resources Manager,1/21,9/21,Marketing Coordinator,10/21,11/21,Data Scientist,12/21,12/21,0.87
249,Brown University,2.96,Bachelor's,Los Angeles,M,1,0,1,Asian American & Pacific Islander,Research Assistant,4/21,5/21,Graphic Designer,6/21,12/21,N/A,N/A,N/A,1.11
250,Rhode Island College,3.32,Bachelor's,New York,F,0,1,1,White,Research Assistant,1/18,7/18,Sales Representative,8/18,8/18,Human Resources Manager,9/18,12/18,9.76
251,Bryant University,3.01,Master's,San Antonio,N/A,N/A,1,N/A,White,Lawyer,8/21,12/21,Marketing Coordinator,1/22,3/22,Web Developer,4/22,10/22,6.08
252,Roger Williams University,2.53,PhD,San Jose,F,N/A,1,0,Black,Marketing Coordinator,11/15,12/15,Research Assistant,1/16,9/16,Sales Representative,10/16,10/16,3.26
253,Bryant University,3.12,PhD,Austin,M,0,1,1,Asian American & Pacific Islander,Graphic Designer,2/18,6/18,Marketing Coordinator,7/18,10/18,Product Manager,11/18,11/18,1.63
254,Brown University,3.18,Bachelor's,San Antonio,F,N/A,1,N/A,Native American,Machine Learning Engineer,1/22,6/22,N/A,N/A,N/A,N/A,N/A,N/A,2.95
255,Rhode Island College,3.25,Master's,Boston,N/A,1,1,1,Native American,Product Manager,8/16,8/16,Financial Analyst,9/16,11/16,Human Resources Manager,12/16,12/16,3.79
256,Rhode Island College,3.01,Master's,Providence,N/A,N/A,1,1,Black,Software Engineer,1/20,12/20,Web Developer,1/21,2/21,Machine Learning Engineer,3/21,8/21,9.87
257,Salve Regina University,2.87,Bachelor's,Houston,F,1,1,1,Asian American & Pacific Islander,Sales Representative,9/17,11/17,Product Manager,12/17,12/17,Marketing Coordinator,1/18,11/18,8.79
258,Salve Regina University,2.29,PhD,Houston,F,0,0,0,Black,Financial Analyst,6/15,11/15,Marketing Coordinator,12/15,12/15,N/A,N/A,N/A,8.37
259,Johnson & Wales University,2.62,Bachelor's,San Jose,M,0,1,1,Other,Sales Representative,2/16,9/16,Product Manager,10/16,10/16,Lawyer,11/16,12/16,8.64
260,Rhode Island School of Design,3.13,PhD,Jacksonville,F,1,1,0,Black,Machine Learning Engineer,12/16,12/16,Marketing Coordinator,1/17,1/17,Research Assistant,2/17,3/17,1.59
261,Brown University,2.78,Master's,Dallas,N/A,1,0,N/A,Asian American & Pacific Islander,Human Resources Manager,2/19,9/19,N/A,N/A,N/A,N/A,N/A,N/A,9.16
262,Rhode Island School of Design,3.2,Master's,Chicago,M,1,0,1,Black,Research Assistant,4/21,5/21,Marketing Coordinator,6/21,8/21,Lawyer,9/21,10/21,9.6
263,Roger Williams University,2.76,Master's,Houston,N/A,0,1,0,Native American,Web Developer,6/16,12/16,Product Manager,1/17,11/17,Product Manager,12/17,12/17,5.77
264,University of Rhode Island,2.71,PhD,San Diego,M,N/A,1,0,Black,Product Manager,7/22,11/22,N/A,N/A,N/A,N/A,N/A,N/A,9.23
265,Salve Regina University,3.5,PhD,Los Angeles,N/A,N/A,1,N/A,Other,Product Manager,5/21,12/21,Financial Analyst,1/22,4/22,N/A,N/A,N/A,8.56
266,Rhode Island College,3.23,PhD,Los Angeles,N/A,1,0,0,Black,Sales Representative,11/17,11/17,Lawyer,12/17,12/17,N/A,N/A,N/A,1.89
267,Rhode Island School of Design,2.33,PhD,San Antonio,N/A,N/A,0,0,Asian American & Pacific Islander,Software Engineer,8/18,12/18,Lawyer,1/19,1/19,Sales Representative,2/19,3/19,5.61
268,Bryant University,2.8,Bachelor's,Houston,F,N/A,1,1,Asian American & Pacific Islander,Data Scientist,8/17,10/17,Data Scientist,11/17,11/17,N/A,N/A,N/A,3.42
269,Brown University,2.59,Bachelor's,Houston,N/A,1,1,1,Black,Human Resources Manager,4/20,5/20,N/A,N/A,N/A,N/A,N/A,N/A,1.71
270,New England Institute of Technology,3.48,Bachelor's,Phoenix,N/A,1,1,1,Asian American & Pacific Islander,Human Resources Manager,1/15,8/15,Product Manager,9/15,9/15,Research Assistant,10/15,10/15,4.99
271,New England Institute of Technology,3.15,PhD,Chicago,M,0,0,N/A,Asian American & Pacific Islander,Product Manager,12/17,12/17,Financial Analyst,1/18,3/18,Data Scientist,4/18,8/18,2.13
272,Rhode Island School of Design,2.64,PhD,Jacksonville,F,1,1,N/A,White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.07
273,Providence College,2.69,Bachelor's,Dallas,M,0,0,1,Black,Graphic Designer,3/22,5/22,Financial Analyst,6/22,10/22,N/A,N/A,N/A,5.6
274,Providence College,3.48,Master's,Philadelphia,N/A,0,0,1,Black,Financial Analyst,4/15,10/15,Product Manager,11/15,12/15,Research Assistant,1/16,12/16,9.22
275,Brown University,3.1,Master's,Columbus,M,0,1,N/A,Asian American & Pacific Islander,Web Developer,11/20,11/20,Marketing Coordinator,12/20,12/20,N/A,N/A,N/A,3.32
276,Johnson & Wales University,2.69,PhD,Philadelphia,M,1,0,0,Native American,Sales Representative,9/16,10/16,Machine Learning Engineer,11/16,11/16,Lawyer,12/16,12/16,9.62
277,Johnson & Wales University,3.16,PhD,Philadelphia,N/A,N/A,1,0,Asian American & Pacific Islander,Graphic Designer,12/16,12/16,Sales Representative,1/17,10/17,Web Developer,11/17,11/17,4.7
278,New England Institute of Technology,3.09,PhD,Fort Worth,M,1,0,0,Asian American & Pacific Islander,Financial Analyst,8/18,12/18,Data Scientist,1/19,9/19,Machine Learning Engineer,10/19,10/19,4.58
279,Roger Williams University,3.47,Master's,Phoenix,M,N/A,1,N/A,Native American,Graphic Designer,1/20,5/20,Lawyer,6/20,10/20,Financial Analyst,11/20,11/20,9.79
280,Salve Regina University,2.52,PhD,New York,M,0,1,0,Native American,Web Developer,3/20,6/20,N/A,N/A,N/A,N/A,N/A,N/A,4.79
281,Rhode Island School of Design,2.34,PhD,New York,M,N/A,0,N/A,Asian American & Pacific Islander,Marketing Coordinator,12/18,12/18,N/A,N/A,N/A,N/A,N/A,N/A,5.64
282,Rhode Island School of Design,3.14,Bachelor's,San Diego,M,1,1,N/A,Asian American & Pacific Islander,Software Engineer,12/22,12/22,Machine Learning Engineer,1/23,8/23,Lawyer,9/23,11/23,1.6
283,Providence College,2.69,Master's,San Diego,F,N/A,0,0,Black,Machine Learning Engineer,8/22,10/22,Data Scientist,11/22,11/22,Marketing Coordinator,12/22,12/22,5.8
284,Brown University,2.88,PhD,Columbus,F,N/A,1,0,Asian American & Pacific Islander,Data Scientist,8/19,11/19,Data Scientist,12/19,12/19,N/A,N/A,N/A,6.14
285,Salve Regina University,3.14,PhD,San Francisco,M,0,1,N/A,White,Financial Analyst,11/20,12/20,Marketing Coordinator,1/21,5/21,Lawyer,6/21,10/21,8.84
286,New England Institute of Technology,3.1,Master's,Boston,N/A,N/A,0,0,Asian American & Pacific Islander,Data Scientist,6/15,6/15,Human Resources Manager,7/15,12/15,Machine Learning Engineer,1/16,6/16,2.61
287,Johnson & Wales University,2.44,Bachelor's,Boston,F,N/A,0,N/A,Other,Lawyer,7/17,7/17,Financial Analyst,8/17,8/17,N/A,N/A,N/A,5.92
288,Salve Regina University,3.35,PhD,Miami,N/A,0,0,1,White,Web Developer,6/22,6/22,N/A,N/A,N/A,N/A,N/A,N/A,7.51
289,Rhode Island School of Design,2.86,PhD,Phoenix,F,N/A,1,N/A,Native American,Human Resources Manager,10/20,12/20,Financial Analyst,1/21,12/21,Marketing Coordinator,1/22,5/22,9.5
290,Bryant University,3.57,Master's,Fort Worth,F,N/A,0,0,White,Software Engineer,9/19,11/19,Financial Analyst,12/19,12/19,Research Assistant,1/20,6/20,9.89
291,University of Rhode Island,2.61,PhD,Houston,M,1,0,0,Native American,Graphic Designer,4/20,9/20,Research Assistant,10/20,12/20,Research Assistant,1/21,7/21,7.29
292,Brown University,2.34,Master's,Dallas,N/A,0,0,1,Black,Software Engineer,5/22,12/22,Product Manager,1/23,10/23,N/A,N/A,N/A,6.36
293,University of Rhode Island,2.29,Master's,New York,N/A,1,0,0,Asian American & Pacific Islander,Graphic Designer,8/16,11/16,Data Scientist,12/16,12/16,Research Assistant,1/17,7/17,9.39
294,Bryant University,3.67,Master's,Miami,M,1,1,1,Black,Software Engineer,3/21,9/21,Research Assistant,10/21,12/21,Financial Analyst,1/22,6/22,2.18
295,Roger Williams University,4.0,Bachelor's,San Jose,N/A,0,1,N/A,White,Web Developer,10/15,10/15,Human Resources Manager,11/15,11/15,Research Assistant,12/15,12/15,3.46
296,Rhode Island School of Design,2.97,Master's,Phoenix,N/A,N/A,1,0,Native American,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.33
297,New England Institute of Technology,3.67,Master's,Chicago,N/A,N/A,1,N/A,Asian American & Pacific Islander,Product Manager,12/19,12/19,Web Developer,1/20,11/20,N/A,N/A,N/A,6.87
298,Roger Williams University,3.22,PhD,San Diego,M,N/A,0,0,White,Sales Representative,7/15,12/15,Web Developer,1/16,3/16,Research Assistant,4/16,7/16,3.25
299,Rhode Island School of Design,2.62,Bachelor's,Philadelphia,F,0,0,N/A,Other,Web Developer,1/15,6/15,N/A,N/A,N/A,N/A,N/A,N/A,2.35
300,New England Institute of Technology,3.42,PhD,Boston,N/A,0,1,0,Native American,Research Assistant,9/16,10/16,Software Engineer,11/16,12/16,Graphic Designer,1/17,4/17,8.31
301,Bryant University,2.21,Master's,Dallas,N/A,1,0,0,Black,Product Manager,3/17,6/17,Data Scientist,7/17,11/17,Graphic Designer,12/17,12/17,0.72
302,New England Institute of Technology,2.96,Bachelor's,Houston,F,1,1,0,Asian American & Pacific Islander,Financial Analyst,3/18,5/18,N/A,N/A,N/A,N/A,N/A,N/A,5.65
303,Johnson & Wales University,3.35,Master's,Jacksonville,N/A,1,1,1,Asian American & Pacific Islander,Graphic Designer,5/17,5/17,Research Assistant,6/17,9/17,N/A,N/A,N/A,3.37
304,Johnson & Wales University,3.24,Master's,San Antonio,N/A,1,1,N/A,Black,Human Resources Manager,9/16,12/16,Graphic Designer,1/17,4/17,N/A,N/A,N/A,9.65
305,Salve Regina University,2.46,Master's,Dallas,F,N/A,0,0,Black,Lawyer,11/19,11/19,N/A,N/A,N/A,N/A,N/A,N/A,2.27
306,Rhode Island School of Design,3.41,Master's,San Francisco,F,1,1,1,White,Data Scientist,6/22,10/22,Human Resources Manager,11/22,11/22,Marketing Coordinator,12/22,12/22,0.89
307,University of Rhode Island,3.22,Master's,Houston,F,N/A,0,0,Native American,Financial Analyst,2/22,12/22,Web Developer,1/23,10/23,Financial Analyst,11/23,12/23,8.47
308,Johnson & Wales University,3.31,Master's,Houston,M,0,0,1,Native American,Research Assistant,7/21,11/21,Data Scientist,12/21,12/21,Lawyer,1/22,8/22,8.58
309,Rhode Island School of Design,3.2,Master's,Boston,F,0,0,N/A,White,Lawyer,2/20,2/20,Data Scientist,3/20,5/20,Research Assistant,6/20,12/20,8.49
310,Rhode Island School of Design,3.36,PhD,Philadelphia,M,0,0,0,Black,Marketing Coordinator,6/17,6/17,Graphic Designer,7/17,11/17,Product Manager,12/17,12/17,6.16
311,Providence College,2.89,Master's,Charlotte,F,1,0,0,Native American,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.48
312,University of Rhode Island,3.18,Bachelor's,Charlotte,N/A,N/A,1,1,Native American,Lawyer,12/22,12/22,N/A,N/A,N/A,N/A,N/A,N/A,8.41
313,Bryant University,3.95,Master's,New York,F,0,1,0,Other,Lawyer,12/20,12/20,Human Resources Manager,1/21,8/21,Sales Representative,9/21,12/21,9.85
314,Salve Regina University,2.0,Master's,Los Angeles,N/A,1,0,N/A,Other,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.71
315,Rhode Island College,3.37,Bachelor's,Dallas,N/A,1,0,0,Native American,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.37
316,New England Institute of Technology,2.67,PhD,San Diego,F,0,0,N/A,Native American,Data Scientist,5/22,8/22,Marketing Coordinator,9/22,10/22,Machine Learning Engineer,11/22,11/22,8.64
